what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331658523169
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331658531864
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331658535509
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331658539865
error,log,,,"Unhandled event loop exception",1331658539890
error,log,,,"Unhandled event loop exception",1331658540851
error,log,,,"Unhandled event loop exception",1331658547196
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331658550710
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331658555445
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331658558855
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331658563611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331658567606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331658573148
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331658578772
error,log,,,"Unhandled event loop exception",1331658578864
error,log,,,"Unhandled event loop exception",1331658578886
error,log,,,"Unhandled event loop exception",1331658579353
error,log,,,"Unhandled event loop exception",1331658579357
error,log,,,"Unhandled event loop exception",1331658579686
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331658582987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331658590852
error,log,,,"Unhandled event loop exception",1331658590937
error,log,,,"Unhandled event loop exception",1331658590953
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331658596893
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331658599466
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331658604811
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331658608360
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331658616236
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331658617560
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331658619199
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331658620530
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331658626821
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1331658635505
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1331658635861
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1331658636190
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1331658636576
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1331658636938
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1331658642110
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1331658644669
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1331658646211
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331658651049
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331658653042
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331658679896
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331658682439
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1331658693720
error,log,,,"",1331658711042
error,log,,,"Failed to add marker 'com.android.ide.eclipse.adt.lintProblem' to '/WakeMeUp-main/res/layout/main.xml'",1331658711097
error,log,,,"",1331658711202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331658725111
error,log,,,"Unhandled event loop exception",1331658736855
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331658744554
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331658751054
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.ui.views.PropertySheet while still in the middle of activating part com.android.ide.eclipse.editors.layout.LayoutEditor",1331658751065
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1331658752381
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331658762373
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331658768701
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1331658772351
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331658774671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331658777374
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331658780860
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1331658782432
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331658838466
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331658838609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331658864555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331658987076
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331659012015
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331659020180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331659024184
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331659026772
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331659031054
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331659048473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331659808912
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331659810062
