what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled event loop exception",1331661302338
error,log,,,"Unhandled event loop exception",1331661302344
error,log,,,"Unhandled event loop exception",1331661302346
error,log,,,"Unhandled event loop exception",1331661302436
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331661320737
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331661322105
error,log,,,"Unhandled event loop exception",1331661328069
error,log,,,"Unhandled event loop exception",1331661328076
error,log,,,"Unhandled event loop exception",1331661328078
error,log,,,"Unhandled event loop exception",1331661328079
error,log,,,"Unhandled event loop exception",1331661328082
error,log,,,"Unhandled event loop exception",1331661328133
error,log,,,"Unhandled event loop exception",1331661339537
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661346912
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661351167
error,log,,,"Unhandled event loop exception",1331661351266
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331661353464
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331661355291
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1331661358893
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1331661362403
error,log,,,"Unhandled event loop exception",1331661362417
error,log,,,"Unhandled event loop exception",1331661362429
error,log,,,"Unhandled event loop exception",1331661362441
error,log,,,"Unhandled event loop exception",1331661362450
error,log,,,"Unhandled event loop exception",1331661363225
error,log,,,"Unhandled event loop exception",1331661363227
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331661368217
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331661369307
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331661371904
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331661372086
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331661375930
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331661376171
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1331661379891
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331661380867
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.SourceView",1331661381426
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.SourceView",1331661381444
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331661382317
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331661389107
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331661408219
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1331661413035
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331661430563
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331661434854
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1331661442163
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331661443948
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331661445189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661448649
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661461764
error,log,,,"Unhandled event loop exception",1331661461849
error,log,,,"Unhandled event loop exception",1331661461850
error,log,,,"Unhandled event loop exception",1331661461852
error,log,,,"Unhandled event loop exception",1331661461939
error,log,,,"Unhandled event loop exception",1331661464755
error,log,,,"Unhandled event loop exception",1331661472937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331661474236
error,log,,,"Unhandled event loop exception",1331661474250
error,log,,,"Unhandled event loop exception",1331661474259
error,log,,,"Unhandled event loop exception",1331661474276
error,log,,,"Unhandled event loop exception",1331661474289
error,log,,,"Unhandled event loop exception",1331661474300
error,log,,,"Unhandled event loop exception",1331661474986
error,log,,,"Unhandled event loop exception",1331661474988
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331661477626
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331661477781
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1331661484702
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661487956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661551709
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331661555149
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331661555586
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1331661561826
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331661562249
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1331661567903
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331661583146
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331661597924
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661616424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661637574
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331661644648
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331661650147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661655129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661664109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661667600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661833875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331661854349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661859024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661861862
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661862983
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661886554
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331661899222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331662004761
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331662349723
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331662352304
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331662358432
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331662370837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331662374940
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331662382409
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331662387639
