what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Oracle Corporation",1331654339140
java.vm.version,sysinfo,,,"22.1-b02",1331654339140
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331654348264
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1331654348303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654359451
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654382872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654386447
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1331654496703
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1331654496759
error,log,,,"Failed to load properties file for project 'WakeMeUp-main'",1331654496860
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1331654496875
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1331654496885
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1331654497774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654497816
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1331654506082
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1331654506174
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1331654506192
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1331654506360
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1331654506361
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1331654506402
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1331654506415
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331654506672
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331654506728
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1331654507511
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1331654507550
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1331654507673
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654525100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654596247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654598981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654600303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654601157
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654641975
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331654648054
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331654656931
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1331654663316
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1331654666113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654678013
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654681938
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331654700739
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331654732827
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331654734299
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331654788435
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1331654792595
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1331654792713
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1331654792783
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1331654792788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654802922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654819893
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1331654819898
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1331654819898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654823389
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654823396
opened,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654823425
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1331654823425
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.newWindow",1331654823429
started,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1331654824996
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1331654825025
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1331654825083
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1331654825101
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1331654825120
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1331654825126
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654825139
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654825159
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654835555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331654890456
